Specie, n.individui, M, F, Adulti, Giovani, F in deposizione
Salamandrina perspicillata, 17, 8, 9, 11, 6, 3
Triturus carnifex, 62, 28, 34, 56, 6, 11
Rana italica, 25, 10, 15, 18, 7, 3
Lissotriton vulgaris, 12, 7, 5, 10, 2, 2
Bufo bufo, 83, 37, 46, 71, 12, 28
Hyla intermedia, 34, 15, 19, 26, 8, 11
Pelophylax ridibundus, 68, 21, 47, 50, 18, 31
Pelophylax lessonae, 54, 30, 24, 41, 13, 8
Pelophylax esculentus, 88, 52, 36, 45, 43, 9
Speleomantes italicus, 16, 5, 11, 9, 7, 4
Bufotes balearicus, 7, 3, 4, 6, 1,1
Salamandrina perspicillata, 14, 8, 6, 12, 2, 2
Triturus carnifex, 23, 9, 14, 19, 4, 0
Rana italica, 31, 13, 18, 26, 5, 3
Lissotriton vulgaris, 33, 17, 16, 32, 1, 0
Bufo bufo, 9, 3 , 6, 9, 0, 0
Hyla intermedia, 8, 3, 5, 8, 0, 2
Pelophylax ridibundus, 0, 0, 0, 0, 0, 0
Pelophylax lessonae, 0, 0, 0, 0, 0, 0
Pelophylax esculentus, 0, 0, 0, 0, 0, 0 
Speleomantes italicus, 0, 0, 0, 0, 0, 0
Bufotes balearicus, 0, 0, 0, 0, 0, 0
Salamandrina perspicillata, 0, 0, 0, 0, 0, 0
Triturus carnifex, 0, 0, 0, 0, 0, 0
Rana italica, 0, 0, 0, 0, 0, 0
Lissotriton vulgaris, 0, 0, 0, 0, 0, 0
Bufo bufo, 36, 15, 21, 34, 2, 3
Hyla intermedia, 36, 19, 17, 36, 0, 2
Pelophylax ridibundus, 83, 36, 47, 74, 9, 6
Pelophylax lessonae, 71, 39, 32, 66, 5, 5
Pelophylax esculentus, 56, 27, 29, 53, 3, 8
Speleomantes italicus, 0, 0, 0, 0, 0, 0
Bufotes balearicus, 30, 14, 16, 23, 7, 4
